Customer_Key,Type,Segment,Recency,Frequency,Monetary,Tenure,Streaming,RFMscore,RFMSscore
102,BTC,NA,2,2,3,2,NA,7,NA
181,BTC,1,4,3,3,2,1,10,11
296,BTC,2,4,4,2,3,1,10,11
397,BTS,4,4,4,2,2,2,10,12
531,BTC,2,2,4,4,4,4,10,14
660,BTC,1,2,1,1,2,2,4,6
922,BTC,2,1,4,3,4,4,8,12
1005,BTC,2,4,3,3,3,1,10,11
1006,BTC,2,4,4,4,4,1,12,13
1076,BTC,3,2,2,3,2,3,7,10
1173,BTC,2,3,3,4,4,4,10,14
1729,BTC,3,3,4,1,1,2,8,10
1769,BTS,1,1,1,1,1,1,3,4
1867,BTC,3,3,4,2,3,3,9,12
2484,BTC,2,4,3,4,3,1,11,12
2709,BTC,3,3,3,3,3,4,9,13
2842,BTC,NA,2,3,4,3,NA,9,NA
2918,BTC,2,3,3,2,4,1,8,9
3029,BTC,2,4,4,2,3,1,10,11
3175,BTC,2,2,4,3,4,3,9,12
3296,BTC,2,3,3,4,3,1,10,11
3487,BTC,3,3,2,2,2,2,7,9
3608,BTC,2,4,3,4,3,1,11,12
3890,BTC,2,2,3,4,4,4,9,13
3949,BTC,3,1,1,2,2,4,4,8
4101,BTC,NA,1,1,1,1,NA,3,NA
4155,BTC,3,3,1,2,2,3,6,9
4186,BTS,2,3,4,3,4,3,10,13
4190,Unknown,NA,4,1,1,1,3,6,9
4205,BTC,3,4,3,2,3,4,9,13
4685,BTC,2,4,3,3,4,3,10,13
4877,BTC,2,1,4,1,4,1,6,7
4878,BTC,2,2,4,4,4,1,10,11
4887,BTC,2,3,4,2,4,4,9,13
4900,Unknown,NA,1,1,3,2,4,5,9
5003,BTC,3,4,2,3,2,4,9,13
5252,BTC,2,4,4,4,3,4,12,16
5394,BTC,2,2,3,4,4,1,9,10
5405,BTC,3,1,3,3,4,4,7,11
5737,BTC,2,1,4,4,4,4,9,13
5739,BTC,1,3,1,1,1,3,5,8
5835,BTC,2,1,4,4,4,1,9,10
5925,BTC,3,2,2,3,2,4,7,11
6089,BTC,3,1,3,3,3,4,7,11
6262,BTC,1,1,1,1,1,2,3,5
6515,BTC,2,1,4,4,4,4,9,13
7994,Unknown,NA,2,2,1,3,4,5,9
8142,BTC,1,2,2,2,1,1,6,7
8239,Unknown,NA,1,1,2,2,NA,4,NA
8605,BTC,3,1,1,2,2,3,4,7
8733,BTC,2,3,3,4,3,1,10,11
8981,Unknown,NA,1,1,3,2,4,5,9
9219,BTC,2,2,4,4,4,1,10,11
9274,BTC,3,1,3,2,3,3,6,9
9279,BTC,NA,2,4,3,2,NA,9,NA
9333,BTB,1,2,2,2,1,1,6,7
9460,BTC,3,4,2,3,3,4,9,13
9710,BTC,2,1,4,4,4,3,9,12
9746,BTC,3,1,2,3,3,3,6,9
10150,BTS,4,2,2,2,1,1,6,7
10192,BTS,3,3,2,1,2,3,6,9
10592,BTC,3,1,2,3,2,3,6,9
10779,BTC,3,3,1,2,1,4,6,10
10817,BTS,3,3,4,3,2,4,10,14
11035,BTC,1,3,2,2,1,1,7,8
11160,BTC,3,3,3,3,3,2,9,11
11580,Unknown,NA,1,1,2,1,3,4,7
11817,BTC,2,1,1,3,4,1,5,6
12007,BTC,2,3,4,4,3,1,11,12
12412,Unknown,NA,4,1,2,1,3,7,10
12668,BTC,NA,1,3,2,2,NA,6,NA
12745,BTC,3,1,2,3,4,4,6,10
12876,Unknown,NA,1,1,2,2,NA,4,NA
13303,Unknown,NA,4,1,2,1,1,7,8
13900,BTC,1,2,2,2,2,1,6,7
14038,BTC,3,2,1,2,3,2,5,7
14295,BTC,2,4,3,4,3,3,11,14
14344,BTC,3,1,1,2,2,3,4,7
14416,BTC,2,4,4,2,4,1,10,11
14587,BTC,2,1,4,4,4,3,9,12
14704,BTC,1,4,1,1,3,2,6,8
15318,BTC,1,4,2,2,1,1,8,9
15332,BTC,1,2,2,2,1,1,6,7
15691,BTC,3,4,2,3,2,4,9,13
15740,BTC,1,3,2,2,1,2,7,9
15774,BTC,1,2,3,3,2,1,8,9
16029,BTC,1,3,1,2,1,2,6,8
16095,BTS,NA,3,3,2,2,NA,8,NA
16427,BTC,3,2,4,3,3,3,9,12
16451,BTC,2,3,3,4,4,1,10,11
16453,BTS,3,3,3,1,2,4,7,11
