Customer_Key,Type,RecencyDays,Frequency,Monetary,Tenure,Streaming
181,BTC,6,10,563.4740539999999,189,0
296,BTC,5,19,218.9298151475,305,0
397,BTS,3,17,196.76566300000002,161,4
531,BTC,22,18,920.8562669992999,356,3788
660,BTC,22,5,0,116,37
922,BTC,24,27,611.227587,362,1305
1005,BTC,5,11,683.332445,249,0
1006,BTC,1,110,857.8447743591,355,0
1076,BTC,21,9,533.617856,204,205
1173,BTC,12,15,986.400182,346,7502
1729,BTC,12,27,85.9219090666,73,70
1769,BTS,27,2,-1.1687505335,27,0
1867,BTC,8,17,357.44279967319994,237,233
2484,BTC,3,14,986.76721,337,0
2709,BTC,11,13,772.51338,278,1809
2918,BTC,11,12,388.08122743649994,348,0
3029,BTC,3,29,136.33577216969994,343,0
3175,BTC,19,21,637.9208299999999,353,483
3296,BTC,8,13,888.9882029999999,342,0
3487,BTC,9,8,326.19404599999996,161,74
3608,BTC,3,14,875.470202,337,0
3890,BTC,22,13,846.2413359999999,356,1404
3949,BTC,26,5,312.682,143,1531
4155,BTC,11,5,312.682,133,217
4186,BTS,13,24,620.9850044717,358,141
4205,BTC,4,12,203.2819667956,284,2854
4685,BTC,5,13,766.3436869,365,209
4877,BTC,28,59,-216.28793210000003,364,0
4878,BTC,19,18,974.4896209999999,353,0
4887,BTC,7,53,205.0064257,359,873
5003,BTC,5,7,400.02441699999997,127,1459
5252,BTC,4,27,977.4688423762,345,2352
5394,BTC,19,14,932.17125,353,0
5405,BTC,63,11,719.3083399999999,348,1141
5737,BTC,23,16,956.906650712,357,1062
5739,BTC,8,2,0,40,365
5835,BTC,28,25,1091.2565332443999,362,0
5925,BTC,22,7,391.79842399999995,174,3030
6089,BTC,29,11,783.684,318,1500
6262,BTC,29,2,44.500653,101,67
6515,BTC,26,21,830.3736929999999,362,2260
8142,BTC,21,7,161.1098209,51,0
8605,BTC,29,5,313.4736,151,167
8733,BTC,8,12,900.8408,342,0
9219,BTC,19,25,929.6651089999999,356,0
9274,BTC,24,14,199.15315999999999,328,469
9333,BTB,18,6,217.8930417152,49,0
9460,BTC,2,9,626.9472,257,1236
9710,BTC,23,33,843.9070821094999,363,201
9746,BTC,98,8,468.09335599999997,291,511
10150,BTS,18,8,241.909282,109,0
10192,BTS,9,8,0,195,309
10592,BTC,25,8,467.326171,212,293
10779,BTC,9,5,251.56442099999998,100,1384
10817,BTS,8,18,418.0366176248,161,751
11035,BTC,7,7,255.17746080199998,43,0
11160,BTC,11,11,498.699262,225,74
11817,BTC,52,5,802.088846,356,0
12007,BTC,12,28,967.9862136999999,322,0
12745,BTC,81,9,773.3196189752999,348,3195
13900,BTC,15,7,163.86653411999998,206,0
14038,BTC,19,5,129.75141,333,58
14295,BTC,3,12,924.5888,337,512
14344,BTC,30,5,229.18112671549997,121,189
14416,BTC,1,35,225.2014378219,362,0
14587,BTC,24,23,868.3925472948999,358,205
14704,BTC,6,2,71.76,263,22
15318,BTC,5,7,293.44708299999996,35,0
15332,BTC,17,9,195.010242,108,0
15691,BTC,6,8,471.80288179,171,796
15740,BTC,7,8,122.788220539,37,3
15774,BTC,22,10,425.53605860979997,151,0
16029,BTC,7,5,157.7857101313,68,34
16427,BTC,22,16,452.948246,341,450
16451,BTC,12,13,963.7430199999999,346,0
16453,BTS,11,11,0,195,2447
16693,BTC,4,6,192.97944299999997,163,0
17135,BTC,9,13,897.854931,343,0
17417,BTC,13,18,892.240789,347,343
17579,BTB,6,12,924.5888,340,0
17823,BTC,11,5,312.682,133,0
18521,BTC,18,19,1018.863883,363,6900
18535,BTC,27,6,0,150,778
18672,BTC,8,4,14.476676999999999,11,0
18886,BTC,14,54,1364.1078469973,361,1985
19771,BTC,2,3,46.8923392891,64,451
20100,BTC,19,4,77.538624,140,1
20150,BTC,22,11,682.4797199999999,281,0
20508,BTC,1,6,322.9418,154,621
20539,BTC,52,6,682.40928,355,1654
20547,BTC,17,13,923.0487909999999,351,775
20583,BTC,11,37,618.846043,358,3620
20656,BTC,22,5,313.4736,144,870
20789,BTC,25,22,923.477361656,359,938
20799,BTC,24,13,914.64802,358,0
21170,BTC,19,14,317.081706,213,0
21235,BTS,15,9,626.9472,259,2107
21691,BTB,9,2,-12.37338103,9,0
21819,BTS,3,12,940.4207999999999,337,0
21820,BTC,12,6,391.842,164,1923
22190,BTS,11,13,924.5888,363,392
22198,BTS,14,6,285.27478399999995,136,0
22204,BTB,9,23,1058.030636,343,0
22226,BTC,44,13,450.97906589999997,351,923
22273,BTC,25,7,470.21039999999994,208,627
22344,BTC,20,9,273.3405394322,345,0
22350,BTC,10,23,582.6514129999999,364,1282
22391,BTC,24,77,852.567695,330,0
22697,BTC,25,12,916.6727999999999,359,0
22748,BTC,4,11,287.1707698354,95,0
22753,BTC,14,17,824.6905641916,303,1569
23100,BTC,26,9,304.986911,170,451
23702,BTC,3,21,837.8539473758999,353,1895
23775,BTC,29,17,891.2872140605999,363,147
23915,BTC,20,1,0,20,448
24173,BTC,22,5,125.76423638,179,21
24323,BTC,6,6,375.2184,159,0
24362,BTC,3,15,829.909378,337,0
24663,BTC,23,9,40.391453633699996,136,68
24676,BTC,3,10,572.27702,217,2335
24945,BTC,4,7,255.88974668379998,349,0
25976,BTC,23,12,1013.9253413276999,280,0
26013,BTC,6,20,1172.253698,340,0
26783,BTC,18,12,940.4207999999999,352,0
27014,BTC,24,14,-1.065128,209,672
27016,BTC,22,44,1128.2389291466,240,0
27058,BTC,8,14,923.649644,342,0
27066,BTC,5,12,940.4207999999999,339,973
27162,BTC,12,12,916.6727999999999,345,0
27421,BTC,4,5,175.061183,66,0
27763,BTB,30,12,892.9247999999999,364,0
27797,BTC,30,7,375.2184,213,3533
28153,BTS,16,15,950.3362,350,0
28444,BTC,3,27,903.1845261704,361,0
28469,BTC,3,16,333.80495399999995,186,401
28815,BTC,6,13,784.5301404119999,265,0
28960,BTC,5,12,187.0688318346,307,0
29079,BTB,27,14,882.14302,361,1957
29870,BTC,14,12,940.4207999999999,348,0
30249,BTC,15,33,1316.6302468541,334,0
30253,BTC,14,15,898.487402,348,80
30333,BTC,16,5,87.329211,46,109
30390,BTB,26,62,1849.5868712156,365,0
30602,BTC,27,42,842.140186,361,3
30690,BTC,25,23,716.4357746072,359,0
30901,BTC,13,15,840.3183019999999,347,0
31200,BTC,19,67,1299.858672712,348,54
31476,BTC,9,44,929.3821995648999,343,19
31505,BTC,22,36,356.5816153222,353,202
31847,BTC,5,18,935.1787899999999,339,584
32333,BTS,5,13,707.881262,264,388
32879,BTC,134,2,491.735792,337,0
32961,BTC,1,6,348.436246,122,0
33700,BTC,23,9,254.1108768421,271,491
34241,BTC,28,7,254.965453,150,1677
34323,BTC,20,24,778.5256748999999,279,1475
34474,BTC,2,6,39.159463999999986,63,126
35144,BTC,5,2,53.80102,102,16
35319,BTC,3,12,916.6727999999999,337,0
35323,BTC,21,2,78.3684,51,492
35647,BTC,25,11,452.3074767626,208,512
36055,BTC,16,4,235.10519999999997,107,13
36741,BTC,31,4,61.93802,251,529
36772,BTC,3,37,-115.8272525553,292,0
37094,BTC,27,16,871.0157963641999,347,1817
37751,BTS,7,2,26.160389,333,0
38167,BTC,2,26,821.8846022181,347,68
38329,BTC,3,54,1396.1199537559999,345,0
38470,BTB,1,58,1326.1332191522,360,0
38795,BTC,3,30,803.1917279999999,342,763
38945,BTC,8,15,859.1745319999999,342,68
39092,BTC,27,15,918.0893619999999,361,1447
39210,BTC,27,3,57.172602999999995,57,0
40170,BTC,29,6,312.682,207,2265
40525,BTC,30,15,608.274046,338,1104
40583,BTC,9,12,924.5888,343,0
41129,BTC,11,2,34.78442,117,59
41191,BTC,3,19,887.7162519999999,346,3773
41202,BTC,25,8,351.338644,177,3397
41427,BTS,27,5,312.682,149,0
41484,BTC,10,6,190.7384432945,10,0
41620,BTS,6,5,242.420444,36,0
42289,BTC,27,16,689.8820587132999,323,0
43078,BTS,19,20,871.03897,353,4114
43894,BTC,10,12,330.11060299999997,282,32
44408,BTS,28,3,35.293220999999996,58,67
44581,BTC,19,13,623.0882977432,202,2
45496,BTC,9,11,783.684,298,452
46012,BTC,28,9,197.034829028,297,532
46662,BTC,2,14,771.5806399999999,322,0
46810,BTC,2,15,37.883308612600004,216,589
47127,BTC,3,9,237.625768,357,0
47142,BTC,6,49,893.5071444066999,357,0
47204,BTC,3,2,744.731597,63,7534
47629,BTC,1,24,881.8300157255,352,1499
47632,BTC,17,17,1956.1374068136,351,1309
47780,BTC,25,2,62.5364,55,170
47821,BTC,2,11,608.0556339999999,246,2613
47947,BTC,9,6,65.1954199,72,282
48068,BTC,28,31,547.2624858656,213,2682
48122,BTC,14,11,306.86602799999997,136,0
48361,BTC,20,3,148.317266,56,1762
48399,BTC,24,26,400.926349,145,0
48744,BTC,5,11,28.952336,231,975
49224,BTC,23,12,924.5888,357,1398
49226,BTC,22,7,405.174217,174,0
49437,BTC,8,4,130.891,69,561
49684,BTC,26,16,957.6841232492999,360,0
49772,BTC,3,14,923.7571999999999,337,0
49849,BTC,141,14,1085.7530866,211,0
49858,BTC,29,27,665.5429848762,363,143
50179,BTC,27,6,375.2184,180,0
50182,BTS,25,8,327.90026589999997,147,0
50563,BTC,9,14,308.669407,194,290
50801,BTC,28,10,22.277247,322,651
50827,BTC,3,30,923.9723039679999,359,0
50849,BTC,4,4,62.5364,135,587
51127,BTC,1,17,812.6700609723999,339,0
51314,BTC,15,12,940.4207999999999,349,0
51351,BTC,17,9,376.080205189,328,0
51357,BTC,16,18,877.5342989,350,0
51365,BTC,27,4,162.246052,88,32
51916,BTC,26,13,764.6051529573999,323,1659
51968,BTC,28,11,-13.767846000000006,127,700
51991,BTC,22,19,547.8208348999999,236,174
52211,BTC,16,1,0,16,1154
52476,BTC,16,7,313.230624,138,901
52491,BTC,11,8,317.43536325,148,1014
52501,BTC,19,14,961.5932939999999,353,0
52514,BTC,11,5,178.5230608021,41,169
53035,BTC,22,5,249.73141999999999,113,0
53161,BTB,11,8,240.99923599999997,206,111
53273,BTB,10,12,752.254645,345,0
53680,BTS,28,5,61.890899999999995,247,0
54018,BTC,5,12,589.0691959999999,350,0
54089,BTC,29,14,918.2558519999999,349,297
54822,BTC,17,4,84.5991817115,77,5
55062,BTC,27,9,272.088491,149,368
55588,BTC,6,6,248.11879599999997,128,0
55724,BTC,20,6,296.65202,142,575
56157,BTC,22,12,924.5888,356,0
56423,BTC,19,13,181.3553423385,82,0
56612,BTB,18,15,848.0560890815999,338,0
57097,BTC,14,14,915.8412,348,0
57214,BTC,26,11,168.4066397154,60,0
58464,BTC,7,2,-24.789761,7,0
58467,BTC,14,16,322.17911300000003,256,457
58660,BTC,29,8,436.226633,212,3023
58667,BTC,3,26,203.5245097785,123,252
59198,BTC,6,4,0.6275086472000009,6,0
59370,BTC,30,12,942.4166399999999,364,0
59586,BTC,12,12,924.5888,345,0
59884,BTC,8,19,888.2218869999999,365,0
60350,BTC,13,18,24.968245999999997,214,83
60564,BTC,10,5,128.063209,71,0
60642,BTC,13,12,924.5888,347,0
61252,BTC,24,10,579.915931,238,0
